lon;lat;h
0.375;89.5;14.973
1.375;89.5;14.961
2.375;89.5;14.952
3.375;89.5;14.94
4.375;89.5;14.928
5.375;89.5;14.916
6.375;89.5;14.904
7.375;89.5;14.892
8.375;89.5;14.877
9.375;89.5;14.862
10.375;89.5;14.847
11.375;89.5;14.832
12.375;89.5;14.817
13.375;89.5;14.802
14.375;89.5;14.787
15.375;89.5;14.769
16.375;89.5;14.754
17.375;89.5;14.736
18.375;89.5;14.718
19.375;89.5;14.703
20.375;89.5;14.685
21.375;89.5;14.667
22.375;89.5;14.649
23.375;89.5;14.631
24.375;89.5;14.613
25.375;89.5;14.598
26.375;89.5;14.58
27.375;89.5;14.562
28.375;89.5;14.544
29.375;89.5;14.526
30.375;89.5;14.508
31.375;89.5;14.493
32.375;89.5;14.475
33.375;89.5;14.457
34.375;89.5;14.442
35.375;89.5;14.424
36.375;89.5;14.406
37.375;89.5;14.391
38.375;89.5;14.373
39.375;89.5;14.358
40.375;89.5;14.343
41.375;89.5;14.325
42.375;89.5;14.31
43.375;89.5;14.295
44.375;89.5;14.28
45.375;89.5;14.265
46.375;89.5;14.25
47.375;89.5;14.232
48.375;89.5;14.217
49.375;89.5;14.202
50.375;89.5;14.187
51.375;89.5;14.172
52.375;89.5;14.157
53.375;89.5;14.142
54.375;89.5;14.127
55.375;89.5;14.112
56.375;89.5;14.097
57.375;89.5;14.082
58.375;89.5;14.067
59.375;89.5;14.052
60.375;89.5;14.037
61.375;89.5;14.022
62.375;89.5;14.007
63.375;89.5;13.992
64.375;89.5;13.974
65.375;89.5;13.959
66.375;89.5;13.944
67.375;89.5;13.926
68.375;89.5;13.911
69.375;89.5;13.896
70.375;89.5;13.878
71.375;89.5;13.863
72.375;89.5;13.845
73.375;89.5;13.827
74.375;89.5;13.812
75.375;89.5;13.794
76.375;89.5;13.776
77.375;89.5;13.761
78.375;89.5;13.743
79.375;89.5;13.725
80.375;89.5;13.71
81.375;89.5;13.692
82.375;89.5;13.674
83.375;89.5;13.659
84.375;89.5;13.641
85.375;89.5;13.623
86.375;89.5;13.608
87.375;89.5;13.59
88.375;89.5;13.572
89.375;89.5;13.557
90.375;89.5;13.542
91.375;89.5;13.524
92.375;89.5;13.509
93.375;89.5;13.494
94.375;89.5;13.476
